date,groundtruth
10/04/2009,6.681127983
10/11/2009,6.766595289
10/18/2009,7.611438183
10/25/2009,7.210031347999999
11/01/2009,3.989242492
11/08/2009,3.2772364919999997
11/15/2009,3.453169347
11/22/2009,2.829711976
11/29/2009,2.341920375
12/06/2009,4.459930314
12/13/2009,2.59009009
12/20/2009,3.815789474
12/27/2009,3.8194444439999997
01/03/2010,1.364628821
01/10/2010,0.73089701
01/17/2010,1.212440696
01/24/2010,0.87479497
01/31/2010,1.017293998
02/07/2010,1.6012396690000001
02/14/2010,1.130776794
02/21/2010,1.231671554
02/28/2010,0.737100737
03/07/2010,1.10701107
03/14/2010,0.9760425909999999
03/21/2010,0.9753593429999999
03/28/2010,0.6940427990000001
04/04/2010,1.019367992
04/11/2010,0.610500611
04/18/2010,1.349831271
04/25/2010,2.385107621
05/02/2010,0.49043648799999995
05/09/2010,0.653238977
05/16/2010,0.530785563
05/23/2010,0.27605245
05/30/2010,0.88593577
06/06/2010,0.118694362
06/13/2010,0.484848485
06/20/2010,0.40022870200000005
06/27/2010,0.0
07/04/2010,0.203252033
07/11/2010,0.41067761799999997
07/18/2010,0.16146394
07/25/2010,0.419507079
08/01/2010,0.188679245
08/08/2010,0.6749740390000001
08/15/2010,0.7227671659999999
08/22/2010,0.66603235
08/29/2010,0.29342723
09/05/2010,1.211305518
09/12/2010,0.778909527
09/19/2010,0.9523809520000001
09/26/2010,1.028277635
10/03/2010,0.8751458576000001
10/10/2010,1.1282660333
10/17/2010,0.5860415557
10/24/2010,0.9677419355
10/31/2010,0.6838506048999999
11/07/2010,0.9519038076
11/14/2010,0.9625668449
11/21/2010,0.6523157208
11/28/2010,0.4597701149
12/05/2010,0.7977207976999999
12/12/2010,1.0558069382
12/19/2010,0.8522727273
12/26/2010,1.1308562197
01/02/2011,0.5925925926
01/09/2011,1.4822657491
01/16/2011,1.6682113068000002
01/23/2011,1.4012738854
01/30/2011,3.6786786787
02/06/2011,1.9589106546000001
02/13/2011,4.4315992293
02/20/2011,2.934537246
02/27/2011,4.8801009676
03/06/2011,3.5337124289
03/13/2011,2.6874729085
03/20/2011,3.0245746692
03/27/2011,2.1437578815
04/03/2011,2.2082018927
04/10/2011,1.3650374284
04/17/2011,1.4123006834
04/24/2011,0.8542713568000001
05/01/2011,0.7981220656999999
05/08/2011,0.35971223020000004
05/15/2011,0.3062787136
05/22/2011,0.7168458781
05/29/2011,0.36649214659999996
06/05/2011,0.6017505470000001
06/12/2011,0.5524861878
06/19/2011,0.7641921397
06/26/2011,0.5592841163000001
07/03/2011,0.5008347245
07/10/2011,0.6688963211
07/17/2011,0.3174603175
07/24/2011,0.41067761810000003
07/31/2011,0.3693931398
08/07/2011,0.4888647474
08/14/2011,0.3227541689
08/21/2011,0.1651073198
08/28/2011,0.9139784945999999
09/04/2011,0.8648648648999999
09/11/2011,0.9824198552
09/18/2011,1.226993865
09/25/2011,1.216442953
10/02/2011,1.6491327836
10/09/2011,1.5037593985
10/16/2011,0.9978172747
10/23/2011,0.8700696056
10/30/2011,0.7417397168000001
11/06/2011,1.1742602161
11/13/2011,0.5102040816
11/20/2011,0.5787037037
11/27/2011,0.9583133684999999
12/04/2011,0.7032348804999999
12/11/2011,0.5646817248
12/18/2011,0.5165289256000001
12/25/2011,0.6622516556
01/01/2012,0.6963042314
01/08/2012,0.5070422535
01/15/2012,0.7637752319
01/22/2012,1.4965259219999998
01/29/2012,0.8384146341
02/05/2012,0.6158218854
02/12/2012,0.3606853021
02/19/2012,0.4659832246
02/26/2012,0.84481992
03/04/2012,0.6369426752
03/11/2012,1.3312034079000001
03/18/2012,1.1358024691
03/25/2012,0.9207161125
04/01/2012,1.6787658802
04/08/2012,2.3205844435
04/15/2012,2.1907216495
